case	shell	result
0	bash	pass
0	mksh	N-I
0	ksh	FAIL
0	toysh	FAIL
0	sush	FAIL
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	FAIL
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	FAIL
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	pass
2	osh	pass
3	bash	pass
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	mksh	FAIL
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	pass
4	osh	pass
5	bash	pass
5	mksh	FAIL
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	pass
5	osh	pass
6	bash	pass
6	mksh	FAIL
6	ksh	FAIL
6	toysh	FAIL
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	mksh	FAIL
7	ksh	FAIL
7	toysh	FAIL
7	sush	FAIL
7	brush	pass
7	osh	pass
8	bash	pass
8	mksh	FAIL
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	pass
8	osh	pass
9	bash	pass
9	mksh	FAIL
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	pass
9	osh	pass
10	bash	pass
10	mksh	FAIL
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	pass
10	osh	pass
11	bash	pass
11	mksh	FAIL
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	FAIL
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	FAIL
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	FAIL
14	ksh	FAIL
14	toysh	FAIL
14	sush	FAIL
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	FAIL
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	pass
15	osh	pass
