case	shell	result
0	bash	pass
0	mksh	FAIL
0	ksh	FAIL
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	BUG
1	mksh	FAIL
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	pass
2	mksh	FAIL
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	pass
3	bash	pass
3	mksh	FAIL
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	mksh	FAIL
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	pass
4	osh	pass
5	bash	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	FAIL
5	brush	FAIL
5	osh	pass
6	bash	pass
6	mksh	FAIL
6	ksh	FAIL
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	pass
7	bash	pass
7	mksh	FAIL
7	ksh	FAIL
7	toysh	FAIL
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	pass
8	mksh	FAIL
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	mksh	FAIL
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	mksh	FAIL
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	mksh	FAIL
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	pass
12	mksh	FAIL
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	pass
